date,day_of_week,workout_type,run_distance_km,run_duration_min,avg_pace_min_per_km,boxing_duration_min,skipping_duration_min,desi_workout_duration_min,total_duration_min,avg_heart_rate_bpm,max_heart_rate_bpm,calories_burned,steps
2025-06-01,Sunday,run_only,8.9,59.0,6.63,0.0,0.0,0.0,59.0,141.0,170.0,704,10830
2025-06-02,Monday,boxing_plus_desi,0.0,0.0,,20.0,0.0,44.9,64.9,140.0,181.0,565,5282
2025-06-03,Tuesday,boxing_plus_desi,0.0,0.0,,22.3,0.0,31.4,53.7,151.0,172.0,482,5203
2025-06-04,Wednesday,run_plus_boxing,7.03,47.8,6.8,17.3,0.0,0.0,65.1,154.0,176.0,791,10596
2025-06-05,Thursday,run_plus_boxing,7.42,47.5,6.4,23.4,0.0,0.0,70.9,151.0,171.0,875,12411
2025-06-06,Friday,boxing_plus_desi,0.0,0.0,,28.4,0.0,41.2,69.6,154.0,182.0,757,5982
2025-06-07,Saturday,rest,0.0,0.0,,0.0,0.0,0.0,0.0,,,0,0
2025-06-08,Sunday,run_plus_skipping,8.41,54.7,6.5,0.0,17.8,0.0,72.5,140.0,174.0,1005,12700
2025-06-09,Monday,run_only,8.34,55.6,6.67,0.0,0.0,0.0,55.6,140.0,162.0,662,11412
2025-06-10,Tuesday,run_plus_boxing,8.05,55.0,6.83,19.3,0.0,0.0,74.3,149.0,182.0,838,12964
2025-06-11,Wednesday,run_plus_boxing,8.08,54.9,6.8,23.8,0.0,0.0,78.7,149.0,182.0,837,13240
2025-06-12,Thursday,run_only,7.24,48.1,6.64,0.0,0.0,0.0,48.1,143.0,166.0,638,9453
2025-06-13,Friday,run_only,8.07,55.4,6.86,0.0,0.0,0.0,55.4,144.0,171.0,604,10661
2025-06-14,Saturday,run_only,7.49,48.2,6.44,0.0,0.0,0.0,48.2,141.0,161.0,630,11182
2025-06-15,Sunday,rest,0.0,0.0,,0.0,0.0,0.0,0.0,,,0,0
2025-06-16,Monday,run_only,8.27,54.0,6.53,0.0,0.0,0.0,54.0,144.0,165.0,618,11730
2025-06-17,Tuesday,run_plus_skipping,8.27,56.7,6.86,0.0,16.3,0.0,73.0,155.0,185.0,908,13025
2025-06-18,Wednesday,rest,0.0,0.0,,0.0,0.0,0.0,0.0,,,0,0
2025-06-19,Thursday,run_plus_boxing,7.45,46.6,6.25,21.9,0.0,0.0,68.5,146.0,187.0,902,12359
2025-06-20,Friday,run_only,7.35,48.1,6.55,0.0,0.0,0.0,48.1,143.0,176.0,550,10215
